journey,train_number,date,rows,linear_mae,rf_mae,baseline_mae
12002_2026-08-10,12002,2026-08-10,1,3.197709935412629,2.0769886350691884,10.0
12919_2026-08-10,12919,2026-08-10,2,1.8821466521214276,14.850340038426435,18.0
12920_2026-08-10,12920,2026-08-10,2,2.377100805088273,2.043374224755223,7.5
12002_2026-08-11,12002,2026-08-11,1,1.8097329255642363,9.621972170255166,15.0
12920_2026-08-11,12920,2026-08-11,2,1.5493574113438435,1.7399247363762131,7.0
12002_2026-08-12,12002,2026-08-12,1,3.835625362092973,4.527470190653023,10.0
12920_2026-08-12,12920,2026-08-12,2,2.046396339511998,3.1267304004664984,8.0
12002_2026-08-13,12002,2026-08-13,1,0.5317063252397869,5.349101818231027,14.0
12920_2026-08-13,12920,2026-08-13,2,0.3132733061486763,2.8330606901216395,7.5
12002_2026-08-14,12002,2026-08-14,1,0.4903483668247475,3.2245615079364853,13.0
12920_2026-08-14,12920,2026-08-14,2,0.7631533855565387,1.5032978599463558,7.0
12002_2026-08-15,12002,2026-08-15,1,3.581371237911233,10.377194863145226,10.0
12920_2026-08-15,12920,2026-08-15,2,1.580991357349541,1.550741023904927,8.0
12920_2026-08-16,12920,2026-08-16,2,0.2998437068598099,1.9284977438660482,7.5
12002_2026-08-16,12002,2026-08-16,1,2.8830247594214278,7.628775872909799,16.0
12002_2026-08-17,12002,2026-08-17,1,0.06062432831573972,0.6415048701298787,13.0
12920_2026-08-17,12920,2026-08-17,2,3.8402479450084113,1.1502828756735732,4.0
12002_2026-08-18,12002,2026-08-18,1,2.3950340436823794,6.670693126736779,15.0
12920_2026-08-18,12920,2026-08-18,2,0.923871338023944,0.6641996248649873,8.0
12002_2026-08-19,12002,2026-08-19,1,3.462626898114955,7.102708979286652,16.0
12920_2026-08-19,12920,2026-08-19,2,2.035112865309546,4.2959224046734965,9.0
12919_2026-08-20,12919,2026-08-20,44,9.008245596609946,12.294239288830546,10.295454545454545
12920_2026-08-20,12920,2026-08-20,42,4.1102382419655346,4.169383323643459,6.833333333333333
12951_2026-08-20,12951,2026-08-20,5,1.5069346603437488,2.061323973141453,5.4
12952_2026-08-20,12952,2026-08-20,4,3.4078207014777435,3.5352777663279524,8.5
12952_2026-08-21,12952,2026-08-21,4,3.2779582199527115,4.171056780779999,7.25
12919_2026-08-21,12919,2026-08-21,44,8.35592258646556,9.484926895115795,9.454545454545455
12920_2026-08-21,12920,2026-08-21,42,3.8016472329545117,4.831425221383453,7.476190476190476
12951_2026-08-21,12951,2026-08-21,5,3.371978207131137,4.544900410087935,7.4
12951_2026-08-22,12951,2026-08-22,5,3.2545082428377485,2.634842957859389,4.6
12952_2026-08-22,12952,2026-08-22,5,8.953472864265285,7.455447441807353,11.6
12919_2026-08-22,12919,2026-08-22,44,7.300143559193112,8.994879302482163,12.181818181818182
12920_2026-08-22,12920,2026-08-22,41,2.560753424003395,4.127068744791248,7.463414634146342
12919_2026-08-23,12919,2026-08-23,44,7.707147983972941,10.182503377302101,10.772727272727273
12920_2026-08-23,12920,2026-08-23,43,3.290027401449031,5.14324677423288,8.13953488372093
12951_2026-08-23,12951,2026-08-23,5,6.716116348387291,12.184953870049185,6.4
12952_2026-08-23,12952,2026-08-23,3,2.387863729626291,6.687565252083124,4.333333333333333
12919_2026-08-24,12919,2026-08-24,44,9.628026080105444,11.865110559095298,13.136363636363637
12920_2026-08-24,12920,2026-08-24,42,3.233492763880334,5.090162902546352,8.214285714285714
12951_2026-08-24,12951,2026-08-24,4,1.4608657697026652,1.9123532051373398,6.25
12919_2026-08-25,12919,2026-08-25,43,7.170420551290302,10.18315055942693,11.465116279069768
12920_2026-08-25,12920,2026-08-25,41,4.4887882577297304,7.686749195830309,8.829268292682928
12951_2026-08-25,12951,2026-08-25,5,1.6835007867749248,3.4853576948520626,6.2
12919_2026-08-26,12919,2026-08-26,43,7.5772890119483405,8.29525818332967,11.279069767441861
12920_2026-08-26,12920,2026-08-26,42,3.5547048281839735,3.8287735739469175,7.0
12951_2026-08-26,12951,2026-08-26,5,3.0363677539289955,2.5119790848478223,7.8
12920_2026-08-27,12920,2026-08-27,41,2.9971967269530326,3.2642048210239016,7.609756097560975
12951_2026-08-27,12951,2026-08-27,4,1.9878165179672442,2.0144188892295056,6.25
12919_2026-08-27,12919,2026-08-27,43,6.849046478952381,11.778117443720232,11.604651162790697
12919_2026-08-28,12919,2026-08-28,44,6.667636255695853,10.374259178107856,12.863636363636363
12920_2026-08-28,12920,2026-08-28,42,3.150350406990339,3.9494361539367677,7.4523809523809526
12951_2026-08-28,12951,2026-08-28,5,4.439465291357196,4.8386950100406825,8.0
12919_2026-08-29,12919,2026-08-29,44,7.792770261875479,12.24648651231149,12.181818181818182
12920_2026-08-29,12920,2026-08-29,42,5.577901834391861,8.4566256412055,9.976190476190476
12951_2026-08-29,12951,2026-08-29,5,2.0237491351889156,1.916569977932586,6.8
12919_2026-09-06,12919,2026-09-06,46,4.784870331749779,7.259524952110607,8.934782608695652
12919_2026-09-07,12919,2026-09-07,41,4.629138816840662,7.257636633519696,8.634146341463415
