train_number,journey_date,current_station,next_station,station_sequence,current_departure_delay,previous_departure_delay,next_station_sequence,scheduled_travel_time,target_arrival_delay,day_of_week
12002,2026-08-10,BPL,RKMP,93,15.0,15.0,94,28.0,5.0,0
12002,2026-08-11,BPL,RKMP,93,15.0,15.0,94,28.0,0.0,1
12002,2026-08-12,BPL,RKMP,93,13.0,13.0,94,28.0,3.0,2
12002,2026-08-13,BPL,RKMP,93,22.0,22.0,94,28.0,8.0,3
12002,2026-08-14,BPL,RKMP,93,41.0,41.0,94,28.0,28.0,4
12002,2026-08-15,BPL,RKMP,93,10.0,10.0,94,28.0,0.0,5
12002,2026-08-16,BPL,RKMP,93,26.0,26.0,94,28.0,10.0,6
12002,2026-08-17,BPL,RKMP,93,36.0,36.0,94,28.0,23.0,0
12002,2026-08-18,BPL,RKMP,93,31.0,31.0,94,28.0,16.0,1
12002,2026-08-19,BPL,RKMP,93,23.0,23.0,94,28.0,7.0,2
12002,2026-09-11,MTJ,AGC,23,17.0,0.0,31,31.0,20.0,4
12002,2026-09-11,AGC,DHO,31,20.0,17.0,35,49.0,10.0,4
12002,2026-09-11,DHO,MRA,35,11.0,20.0,39,18.0,14.0,4
12002,2026-09-11,MRA,GWL,39,14.0,11.0,45,26.0,17.0,4
12002,2026-09-11,GWL,VGLJ,45,17.0,14.0,56,82.0,9.0,4
12002,2026-09-11,VGLJ,LAR,56,10.0,17.0,68,57.0,40.0,4
12002,2026-09-11,LAR,BINA,68,45.0,10.0,75,58.0,32.0,4
12002,2026-09-11,BINA,BPL,75,33.0,45.0,93,92.0,31.0,4
12002,2026-09-11,BPL,RKMP,93,35.0,33.0,94,28.0,22.0,4
12919,2026-08-10,SHRN,BPL,42,5.0,5.0,43,27.0,25.0,0
12919,2026-08-10,CRWL,SVDK,233,255.0,255.0,234,32.0,239.0,0
12919,2026-08-20,INDB,DWX,7,10.0,10.0,13,46.0,7.0,3
12919,2026-08-20,DWX,UJN,13,11.0,10.0,19,54.0,-8.0,3
12919,2026-08-20,MKC,BCH,24,11.0,11.0,26,16.0,9.0,3
12919,2026-08-20,BCH,AKD,26,11.0,11.0,30,28.0,4.0,3
12919,2026-08-20,AKD,SJP,30,8.0,11.0,32,13.0,5.0,3
12919,2026-08-20,SJP,KPP,32,8.0,8.0,34,15.0,3.0,3
12919,2026-08-20,KPP,SEH,34,8.0,8.0,38,23.0,5.0,3
12919,2026-08-20,SEH,SHRN,38,12.0,8.0,42,43.0,2.0,3
12919,2026-08-20,SHRN,BPL,42,10.0,12.0,43,27.0,15.0,3
12919,2026-08-20,NSZ,BHS,44,35.0,35.0,50,23.0,52.0,3
12919,2026-08-20,BHS,BAQ,50,58.0,35.0,55,26.0,62.0,3
12919,2026-08-20,BAQ,BINA,55,66.0,58.0,61,59.0,42.0,3
12919,2026-08-20,BINA,LAR,61,48.0,66.0,68,44.0,49.0,3
12919,2026-08-20,LAR,BAB,68,54.0,48.0,77,40.0,49.0,3
12919,2026-08-20,BAB,VGLJ,77,53.0,54.0,80,36.0,39.0,3
12919,2026-08-20,VGLJ,DAA,80,46.0,53.0,82,29.0,40.0,3
12919,2026-08-20,DAA,DBA,82,46.0,46.0,85,23.0,46.0,3
12919,2026-08-20,DBA,GWL,85,50.0,46.0,91,32.0,51.0,3
12919,2026-08-20,GWL,MRA,91,58.0,50.0,97,31.0,58.0,3
12919,2026-08-20,MRA,DHO,97,62.0,58.0,101,43.0,42.0,3
12919,2026-08-20,DHO,AGC,101,41.0,62.0,105,32.0,51.0,3
12919,2026-08-20,AGC,MTJ,105,58.0,41.0,113,43.0,53.0,3
