train_number,journey_date,current_station,next_station,station_sequence,current_departure_delay,previous_departure_delay,delay_change,next_station_sequence,scheduled_travel_time,route_progress,stations_remaining,historical_station_delay,historical_train_delay,scheduled_departure_hour,target_arrival_delay,day_of_week
12002,2026-08-10,BPL,RKMP,93,15.0,15.0,0.0,94,28,0.9893617021276596,1,0.0,0.0,14.25,5.0,0
12919,2026-08-10,SHRN,BPL,42,5.0,5.0,0.0,43,27,0.1794871794871795,192,0.0,0.0,16.916666666666668,25.0,0
12919,2026-08-10,CRWL,SVDK,233,255.0,255.0,0.0,234,32,0.9957264957264957,1,0.0,0.0,16.0,239.0,0
12920,2026-08-10,CRWL,MCTM,2,12.0,13.0,-1.0,3,19,0.00851063829787234,233,0.0,0.0,8.85,3.0,0
12920,2026-08-10,MCTM,RMJK,3,13.0,12.0,1.0,4,16,0.01276595744680851,232,0.0,0.0,9.166666666666666,7.0,0
12002,2026-08-11,BPL,RKMP,93,15.0,15.0,0.0,94,28,0.9893617021276596,1,6.0,13.5,14.25,0.0,1
12920,2026-08-11,CRWL,MCTM,2,11.0,8.0,3.0,3,19,0.00851063829787234,233,7.0,10.46808510638298,8.85,2.0,1
12920,2026-08-11,MCTM,RMJK,3,11.0,11.0,0.0,4,16,0.01276595744680851,232,3.0,10.46808510638298,9.166666666666666,6.0,1
12002,2026-08-12,BPL,RKMP,93,13.0,13.0,0.0,94,28,0.9893617021276596,1,6.0,13.45,14.25,3.0,2
12920,2026-08-12,CRWL,MCTM,2,10.0,6.0,4.0,3,19,0.00851063829787234,233,7.5,13.6,8.85,-2.0,2
12920,2026-08-12,MCTM,RMJK,3,8.0,10.0,-2.0,4,16,0.01276595744680851,232,2.5,13.6,9.166666666666666,4.0,2
12002,2026-08-13,BPL,RKMP,93,22.0,22.0,0.0,94,28,0.9893617021276596,1,7.333333333333333,14.4,14.25,8.0,3
12920,2026-08-13,CRWL,MCTM,2,9.0,7.0,2.0,3,19,0.00851063829787234,233,6.666666666666667,31.944055944055943,8.85,-2.0,3
12920,2026-08-13,MCTM,RMJK,3,8.0,9.0,-1.0,4,16,0.01276595744680851,232,1.0,31.944055944055943,9.166666666666666,4.0,3
12002,2026-08-14,BPL,RKMP,93,41.0,41.0,0.0,94,28,0.9893617021276596,1,9.25,14.051282051282051,14.25,28.0,4
12920,2026-08-14,CRWL,MCTM,2,14.0,6.0,8.0,3,19,0.00851063829787234,233,6.5,44.02105263157895,8.85,3.0,4
12920,2026-08-14,MCTM,RMJK,3,16.0,14.0,2.0,4,16,0.01276595744680851,232,0.25,44.02105263157895,9.166666666666666,13.0,4
12002,2026-08-15,BPL,RKMP,93,10.0,10.0,0.0,94,28,0.9893617021276596,1,14.2,14.89795918367347,14.25,0.0,5
12920,2026-08-15,CRWL,MCTM,2,10.0,7.0,3.0,3,19,0.00851063829787234,233,7.4,40.903361344537814,8.85,0.0,5
12920,2026-08-15,MCTM,RMJK,3,13.0,10.0,3.0,4,16,0.01276595744680851,232,0.8,40.903361344537814,9.166666666666666,7.0,5
12002,2026-08-16,BPL,RKMP,93,26.0,26.0,0.0,94,28,0.9893617021276596,1,12.166666666666666,13.983050847457626,14.25,10.0,6
12920,2026-08-16,CRWL,MCTM,2,10.0,8.0,2.0,3,19,0.00851063829787234,233,7.5,39.95774647887324,8.85,-1.0,6
12920,2026-08-16,MCTM,RMJK,3,10.0,10.0,0.0,4,16,0.01276595744680851,232,0.6666666666666666,39.95774647887324,9.166666666666666,6.0,6
12002,2026-08-17,BPL,RKMP,93,36.0,36.0,0.0,94,28,0.9893617021276596,1,13.0,13.753623188405797,14.25,23.0,0
12920,2026-08-17,CRWL,MCTM,2,5.0,6.0,-1.0,3,19,0.00851063829787234,233,7.571428571428571,36.5722891566265,8.85,1.0,0
12920,2026-08-17,MCTM,RMJK,3,10.0,5.0,5.0,4,16,0.01276595744680851,232,0.42857142857142855,36.5722891566265,9.166666666666666,6.0,0
12002,2026-08-18,BPL,RKMP,93,31.0,31.0,0.0,94,28,0.9893617021276596,1,15.375,14.278481012658228,14.25,16.0,1
12920,2026-08-18,CRWL,MCTM,2,17.0,12.0,5.0,3,19,0.00851063829787234,233,7.5,33.98684210526316,8.85,5.0,1
12920,2026-08-18,MCTM,RMJK,3,15.0,17.0,-2.0,4,16,0.01276595744680851,232,0.5,33.98684210526316,9.166666666666666,11.0,1
12002,2026-08-19,BPL,RKMP,93,23.0,23.0,0.0,94,28,0.9893617021276596,1,16.333333333333332,14.741573033707866,14.25,7.0,2
12920,2026-08-19,CRWL,MCTM,2,11.0,8.0,3.0,3,19,0.00851063829787234,233,8.11111111111111,32.28103044496487,8.85,0.0,2
12920,2026-08-19,MCTM,RMJK,3,11.0,11.0,0.0,4,16,0.01276595744680851,232,1.0,32.28103044496487,9.166666666666666,4.0,2
12919,2026-08-20,INDB,DWX,7,10.0,10.0,0.0,13,46,0.029914529914529916,227,6.0,151.25,12.25,7.0,3
12919,2026-08-20,DWX,UJN,13,11.0,10.0,1.0,19,54,0.05555555555555555,221,0.0,151.25,12.883333333333333,-8.0,3
12919,2026-08-20,MKC,BCH,24,11.0,11.0,0.0,26,16,0.10256410256410256,210,9.0,151.25,14.6,9.0,3
12919,2026-08-20,BCH,AKD,26,11.0,11.0,0.0,30,28,0.1111111111111111,208,15.0,151.25,14.883333333333333,4.0,3
12919,2026-08-20,AKD,SJP,30,8.0,11.0,-3.0,32,13,0.1282051282051282,204,8.0,151.25,15.333333333333334,5.0,3
12919,2026-08-20,SJP,KPP,32,8.0,8.0,0.0,34,15,0.13675213675213677,202,9.0,151.25,15.566666666666666,3.0,3
12919,2026-08-20,KPP,SEH,34,8.0,8.0,0.0,38,23,0.1452991452991453,200,7.0,151.25,15.8,5.0,3
12919,2026-08-20,SEH,SHRN,38,12.0,8.0,4.0,42,43,0.1623931623931624,196,10.0,151.25,16.183333333333334,2.0,3
