train_number,journey_date,station_sequence,station_code,station_name,scheduled_arrival,actual_arrival,scheduled_departure,actual_departure,arrival_delay,departure_delay
12002,2026-09-11,1.0,NDLS,New Delhi,,,2026-09-11T06:00:00+05:30,2026-09-11T06:00:00+05:30,,0.0
12002,2026-09-11,23.0,MTJ,Mathura Jn,2026-09-11T07:19:00+05:30,2026-09-11T07:34:00+05:30,2026-09-11T07:20:00+05:30,2026-09-11T07:37:00+05:30,15.0,17.0
12002,2026-09-11,31.0,AGC,Agra Cantt,2026-09-11T07:50:00+05:30,2026-09-11T08:10:00+05:30,2026-09-11T07:55:00+05:30,2026-09-11T08:15:00+05:30,20.0,20.0
12002,2026-09-11,35.0,DHO,Dhaulpur,2026-09-11T08:39:00+05:30,2026-09-11T08:49:00+05:30,2026-09-11T08:40:00+05:30,2026-09-11T08:51:00+05:30,10.0,11.0
12002,2026-09-11,39.0,MRA,Morena,2026-09-11T08:57:00+05:30,2026-09-11T09:11:00+05:30,2026-09-11T08:58:00+05:30,2026-09-11T09:12:00+05:30,14.0,14.0
12002,2026-09-11,45.0,GWL,Gwalior Jn,2026-09-11T09:23:00+05:30,2026-09-11T09:40:00+05:30,2026-09-11T09:28:00+05:30,2026-09-11T09:45:00+05:30,17.0,17.0
12002,2026-09-11,56.0,VGLJ,Veerangana Lakshmibai Jhansi,2026-09-11T10:45:00+05:30,2026-09-11T10:54:00+05:30,2026-09-11T10:50:00+05:30,2026-09-11T11:00:00+05:30,9.0,10.0
12002,2026-09-11,68.0,LAR,Lalitpur,2026-09-11T11:42:00+05:30,2026-09-11T12:22:00+05:30,2026-09-11T11:43:00+05:30,2026-09-11T12:28:00+05:30,40.0,45.0
12002,2026-09-11,75.0,BINA,Bina Jn,2026-09-11T12:40:00+05:30,2026-09-11T13:12:00+05:30,2026-09-11T12:42:00+05:30,2026-09-11T13:15:00+05:30,32.0,33.0
12002,2026-09-11,93.0,BPL,Bhopal Jn,2026-09-11T14:12:00+05:30,2026-09-11T14:43:00+05:30,2026-09-11T14:15:00+05:30,2026-09-11T14:50:00+05:30,31.0,35.0
12002,2026-09-11,94.0,RKMP,Rani Kamalapati,2026-09-11T14:40:00+05:30,2026-09-11T15:02:00+05:30,,,22.0,
12919,2026-09-06,1.0,DADN,Dr. Ambedkar Nagar,,,2026-09-06T11:50:00+05:30,2026-09-06T11:50:00+05:30,,0.0
12919,2026-09-06,7.0,INDB,Indore Jn,2026-09-06T12:05:00+05:30,2026-09-06T12:11:00+05:30,2026-09-06T12:15:00+05:30,2026-09-06T12:20:00+05:30,6.0,5.0
12919,2026-09-06,13.0,DWX,Dewas,2026-09-06T12:51:00+05:30,2026-09-06T12:52:00+05:30,2026-09-06T12:53:00+05:30,2026-09-06T12:55:00+05:30,1.0,2.0
12919,2026-09-06,19.0,UJN,Ujjain Jn,2026-09-06T13:45:00+05:30,2026-09-06T13:34:00+05:30,2026-09-06T14:00:00+05:30,2026-09-06T14:05:00+05:30,-11.0,5.0
12919,2026-09-06,24.0,MKC,Maksi,2026-09-06T14:35:00+05:30,2026-09-06T14:36:00+05:30,2026-09-06T14:36:00+05:30,2026-09-06T14:37:00+05:30,1.0,1.0
12919,2026-09-06,26.0,BCH,Berchha,2026-09-06T14:51:00+05:30,2026-09-06T14:53:00+05:30,2026-09-06T14:53:00+05:30,2026-09-06T14:55:00+05:30,2.0,2.0
12919,2026-09-06,30.0,AKD,Akodia,2026-09-06T15:19:00+05:30,2026-09-06T15:17:00+05:30,2026-09-06T15:20:00+05:30,2026-09-06T15:20:00+05:30,-2.0,0.0
12919,2026-09-06,32.0,SJP,Shujalpur,2026-09-06T15:32:00+05:30,2026-09-06T15:33:00+05:30,2026-09-06T15:34:00+05:30,2026-09-06T15:35:00+05:30,1.0,1.0
12919,2026-09-06,34.0,KPP,Kalapipal,2026-09-06T15:47:00+05:30,2026-09-06T15:47:00+05:30,2026-09-06T15:48:00+05:30,2026-09-06T15:49:00+05:30,0.0,1.0
12919,2026-09-06,38.0,SEH,Sehore,2026-09-06T16:10:00+05:30,2026-09-06T16:12:00+05:30,2026-09-06T16:11:00+05:30,2026-09-06T16:15:00+05:30,2.0,4.0
12919,2026-09-06,42.0,SHRN,Sant Hirdaram Nagar Jn,2026-09-06T16:53:00+05:30,2026-09-06T16:44:00+05:30,2026-09-06T16:55:00+05:30,2026-09-06T16:56:00+05:30,-9.0,1.0
