train_number,journey_date,station_sequence,station_code,station_name,scheduled_arrival,actual_arrival,arrival_delay,scheduled_departure,actual_departure,departure_delay,status
12002,2026-08-10,1,NDLS,New Delhi,,,,2026-08-10T06:00:00+05:30,,,departed
12002,2026-08-10,2,CSB,Shivaji Bridge,2026-08-10T06:01:00+05:30,,,2026-08-10T06:01:00+05:30,,,departed
12002,2026-08-10,3,TKJ,Tilak Bridge,2026-08-10T06:01:00+05:30,,,2026-08-10T06:01:00+05:30,,,departed
12002,2026-08-10,4,PGMD,Pragati Maidan,2026-08-10T06:02:00+05:30,,,2026-08-10T06:02:00+05:30,,,departed
12002,2026-08-10,5,NZM,Hazrat Nizamuddin Jn,2026-08-10T06:04:00+05:30,,,2026-08-10T06:04:00+05:30,,,departed
12002,2026-08-10,6,OKA,Okhla,2026-08-10T06:06:00+05:30,,,2026-08-10T06:06:00+05:30,,,departed
12002,2026-08-10,7,TKD,Tugalakabad,2026-08-10T06:10:00+05:30,,,2026-08-10T06:10:00+05:30,,,departed
12002,2026-08-10,8,TKDC,Tuglakabad Jn Block,2026-08-10T06:13:00+05:30,,,2026-08-10T06:13:00+05:30,,,departed
12002,2026-08-10,9,FDB,Faridabad,2026-08-10T06:16:00+05:30,,,2026-08-10T06:16:00+05:30,,,departed
12002,2026-08-10,10,FDN,Faridabad New Town,2026-08-10T06:18:00+05:30,,,2026-08-10T06:18:00+05:30,,,departed
12002,2026-08-10,11,BVH,Ballabgarh,2026-08-10T06:20:00+05:30,,,2026-08-10T06:20:00+05:30,,,departed
12002,2026-08-10,12,AST,Asaoti,2026-08-10T06:26:00+05:30,,,2026-08-10T06:26:00+05:30,,,departed
12002,2026-08-10,13,PWL,Palwal,2026-08-10T06:32:00+05:30,,,2026-08-10T06:32:00+05:30,,,departed
12002,2026-08-10,14,RDE,Rundhi,2026-08-10T06:37:00+05:30,,,2026-08-10T06:37:00+05:30,,,departed
12002,2026-08-10,15,SHLK,Sholaka,2026-08-10T06:43:00+05:30,,,2026-08-10T06:43:00+05:30,,,departed
12002,2026-08-10,16,BNCR,Banchari,2026-08-10T06:45:00+05:30,,,2026-08-10T06:45:00+05:30,,,departed
12002,2026-08-10,17,HDL,Hodal,2026-08-10T06:49:00+05:30,,,2026-08-10T06:49:00+05:30,,,departed
12002,2026-08-10,18,KSV,Kosi Kalan,2026-08-10T06:56:00+05:30,,,2026-08-10T06:56:00+05:30,,,departed
12002,2026-08-10,19,CHJ,Chata,2026-08-10T07:02:00+05:30,,,2026-08-10T07:02:00+05:30,,,departed
12002,2026-08-10,20,AJH,Ajhai,2026-08-10T07:07:00+05:30,,,2026-08-10T07:07:00+05:30,,,departed
12002,2026-08-10,21,VRBD,Vrindaban Road,2026-08-10T07:13:00+05:30,,,2026-08-10T07:13:00+05:30,,,departed
12002,2026-08-10,22,BTSR,Bhuteshwar,2026-08-10T07:18:00+05:30,,,2026-08-10T07:18:00+05:30,,,departed
12002,2026-08-10,23,MTJ,Mathura Jn,2026-08-10T07:19:00+05:30,2026-08-10T07:38:00+05:30,19.0,2026-08-10T07:20:00+05:30,2026-08-10T07:40:36+05:30,21.0,departed
12002,2026-08-10,24,BAD,Baad,2026-08-10T07:25:00+05:30,,,2026-08-10T07:25:00+05:30,,,departed
12002,2026-08-10,25,FAR,Farah,2026-08-10T07:30:00+05:30,,,2026-08-10T07:30:00+05:30,,,departed
12002,2026-08-10,26,DDDM,Deen Dayal Dham,2026-08-10T07:32:00+05:30,,,2026-08-10T07:32:00+05:30,,,departed
12002,2026-08-10,27,KXM,Kitham,2026-08-10T07:37:00+05:30,,,2026-08-10T07:37:00+05:30,,,departed
12002,2026-08-10,28,RNKA,Runkuta,2026-08-10T07:42:00+05:30,,,2026-08-10T07:42:00+05:30,,,departed
12002,2026-08-10,29,BFP,Bilochpura (Agra),2026-08-10T07:47:00+05:30,,,2026-08-10T07:47:00+05:30,,,departed
